Activity_ID,L3(도메인),L4,L5,L6 Name,Cadence,Output Type,Digital Trace,seq,pre_dependency
V2-L6-0001,교육,교육과정설계,Pilot과정 운영,Pilot과정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0244,기획,전략 수립,People팀 조직목표 수립,1차 People팀 조직목표 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0243
V2-L6-0245,기획,전략 수립,People팀 조직목표 수립,자료집 발행,상시,minutes_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0244
V2-L6-0246,기획,전략 수립,인사전략 수립,인사전략 수립 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0247,기획,전략 수립,인사전략 수립,인사전략 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0246
V2-L6-0248,기획,전략 수립,인사전략 수립,1차 인사전략 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0247
V2-L6-0249,기획,전략 수립,인사전략 수립,자료집 발행,상시,minutes_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0248
V2-L6-0250,기획,전략 수립,전사 인사전략 워크샵,전사 인사전략 워크샵 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0251,기획,전략 수립,전사 인사전략 워크샵,전사 인사전략 워크샵 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0250
V2-L6-0252,기획,전략 수립,전사 인사전략 워크샵,1차 전사 인사전략 워크샵 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0251
V2-L6-0253,기획,전략 수립,전사 인사전략 워크샵,자료집 발행,상시,minutes_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0252
V2-L6-0254,기획,주요 회의체 운영,People팀장 사업부 정례미팅,People팀장 사업부 정례미팅 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0255,기획,주요 회의체 운영,People팀장 사업부 정례미팅,People팀장 사업부 정례미팅 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0254
V2-L6-0256,기획,주요 회의체 운영,People팀장 사업부 정례미팅,1차 People팀장 사업부 정례미팅 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0255
V2-L6-0257,기획,주요 회의체 운영,People팀장 사업부 정례미팅,자료집 발행,상시,minutes_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0256
V2-L6-0258,기획,주요 회의체 운영,전사 인사담당 임원회의,전사 인사담당 임원회의 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0259,기획,주요 회의체 운영,전사 인사담당 임원회의,전사 인사담당 임원회의 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0258
V2-L6-0260,기획,주요 회의체 운영,전사 인사담당 임원회의,1차 전사 인사담당 임원회의 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0259
V2-L6-0261,기획,주요 회의체 운영,전사 인사담당 임원회의,자료집 발행,상시,minutes_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0260
V2-L6-0262,노사,ER,생일자 기념쿠키 지급,생일자 기념쿠키 지급 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0263,노사,ER,생일자 기념쿠키 지급,생일자 기념쿠키 지급 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0262
V2-L6-0264,노사,ER,생일자 기념쿠키 지급,생일자 기념쿠키 지급 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0263
V2-L6-0265,노사,ER,직장내괴롭힘,직장내괴롭힘 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0266,노사,ER,직장내괴롭힘,직장내괴롭힘 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0265
V2-L6-0267,노사,ER,직장내괴롭힘,1차 직장내괴롭힘 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0266
V2-L6-0268,노사,ER,직장내괴롭힘,직장내괴롭힘 처리 결과 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0267
V2-L6-0269,노사,ER,희망퇴직,희망퇴직 기준서 확정,수시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0270,노사,ER,희망퇴직,희망퇴직 결과표 등록,수시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0269
V2-L6-0271,노사,ER,희망퇴직,1차 희망퇴직 결과표 등록,수시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0270
V2-L6-0272,노사,ER,희망퇴직,퇴직패키지 정산서 발행,수시,settlement_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0271
V2-L6-0273,노사,노동조합,단체교섭,단체교섭 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0274,노사,노동조합,단체교섭,단체교섭 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0273
V2-L6-0275,노사,노동조합,단체교섭,단체교섭 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0274
V2-L6-0276,노사,노동조합,단체협약,단체협약 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0277,노사,노동조합,단체협약,단체협약 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0276
V2-L6-0278,노사,노동조합,단체협약,단체협약 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0277
V2-L6-0279,노사,사건사고 관리,면담기록/요약,면담기록/요약 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0280,노사,사건사고 관리,면담기록/요약,면담기록/요약 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0279
V2-L6-0281,노사,사건사고 관리,면담기록/요약,면담기록/요약 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0280
V2-L6-0282,노사,사건사고 관리,면담질문지 준비,면담질문지 준비 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0283,노사,사건사고 관리,면담질문지 준비,면담질문지 준비 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0282
V2-L6-0284,노사,사건사고 관리,면담질문지 준비,면담질문지 준비 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0283
V2-L6-0285,노사,사건사고 관리,유사사례 및 판례 확인,유사사례 및 판례 확인 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0286,노사,사건사고 관리,유사사례 및 판례 확인,유사사례 및 판례 확인 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0285
V2-L6-0287,노사,사건사고 관리,유사사례 및 판례 확인,유사사례 및 판례 확인 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0286
V2-L6-0288,노사,사건사고 관리,징계양정 제안,징계양정 제안 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0289,노사,사건사고 관리,징계양정 제안,징계양정 제안 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0288
V2-L6-0290,노사,사건사고 관리,징계양정 제안,징계양정 제안 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0289
V2-L6-0291,노사,조직문화,Change Agent,Change Agent 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0292,노사,조직문화,Change Agent,Change Agent 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0291
V2-L6-0293,노사,조직문화,Change Agent,1차 Change Agent 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0292
V2-L6-0294,노사,조직문화,Change Agent,CA 우수사례집 발행,상시,casebook,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0293
V2-L6-0295,노사,조직문화,My Pulse 서베이,My Pulse 서베이 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0296,노사,조직문화,My Pulse 서베이,My Pulse 서베이 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0295
V2-L6-0297,노사,조직문화,My Pulse 서베이,1차 My Pulse 서베이 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0296
V2-L6-0298,노사,조직문화,My Pulse 서베이,My Pulse 결과리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0297
V2-L6-0299,노사,조직문화,SCI 진단,SCI 진단 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0300,노사,조직문화,SCI 진단,SCI 진단 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0299
V2-L6-0301,노사,조직문화,SCI 진단,1차 SCI 진단 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0300
V2-L6-0302,노사,조직문화,SCI 진단,SCI 진단 결과리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0301
V2-L6-0303,노사,협의회,협의회,협의회 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0304,노사,협의회,협의회,협의회 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0303
V2-L6-0305,노사,협의회,협의회,협의회 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0304
V2-L6-0306,보상/근태,근태운영 및 관리,Office근무시간오류관리,Office근무시간오류관리 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0307,보상/근태,근태운영 및 관리,Office근무시간오류관리,Office근무시간오류관리 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0306
V2-L6-0308,보상/근태,근태운영 및 관리,Office근무시간오류관리,Office근무시간오류관리 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0307
V2-L6-0309,보상/근태,근태운영 및 관리,근무형태 생성,근무형태 생성 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0310,보상/근태,근태운영 및 관리,근무형태 생성,근무형태 생성 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0309
V2-L6-0311,보상/근태,근태운영 및 관리,근무형태 생성,근무형태 생성 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0310
V2-L6-0312,보상/근태,근태운영 및 관리,일반근태,일반근태 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0313,보상/근태,근태운영 및 관리,일반근태,일반근태 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0312
V2-L6-0314,보상/근태,근태운영 및 관리,일반근태,일반근태 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0313
V2-L6-0315,보상/근태,근태운영 및 관리,임직원휴가생성,임직원휴가생성 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0316,보상/근태,근태운영 및 관리,임직원휴가생성,임직원휴가생성 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0315
V2-L6-0317,보상/근태,근태운영 및 관리,임직원휴가생성,임직원휴가생성 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0316
V2-L6-0318,보상/근태,근태운영 및 관리,초과근무시간반영,초과근무시간반영 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0319,보상/근태,근태운영 및 관리,초과근무시간반영,초과근무시간반영 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0318
V2-L6-0320,보상/근태,근태운영 및 관리,초과근무시간반영,초과근무시간반영 결과 통보 발송,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0319
V2-L6-0321,보상/근태,기업복리후생,대부금,대부금 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0322,보상/근태,기업복리후생,대부금,대부금 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0321
V2-L6-0323,보상/근태,기업복리후생,대부금,대부금 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0322
V2-L6-0324,보상/근태,기업복리후생,의료비,의료비 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0325,보상/근태,기업복리후생,의료비,의료비 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0324
V2-L6-0326,보상/근태,기업복리후생,의료비,의료비 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0325
V2-L6-0327,보상/근태,기업복리후생,임직원검진,임직원검진 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0328,보상/근태,기업복리후생,임직원검진,임직원검진 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0327
V2-L6-0329,보상/근태,기업복리후생,임직원검진,임직원검진 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0328
V2-L6-0330,보상/근태,기업복리후생,학자금,학자금 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0331,보상/근태,기업복리후생,학자금,학자금 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0330
V2-L6-0332,보상/근태,기업복리후생,학자금,학자금 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0331
V2-L6-0333,보상/근태,법정복리후생,건강보험/노인장기요양보험 정산,건강보험/노인장기요양보험 정산 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0334,보상/근태,법정복리후생,건강보험/노인장기요양보험 정산,건강보험/노인장기요양보험 정산 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0333
V2-L6-0335,보상/근태,법정복리후생,건강보험/노인장기요양보험 정산,1차 건강보험/노인장기요양보험 정산 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0334
V2-L6-0336,보상/근태,법정복리후생,건강보험/노인장기요양보험 정산,장기요양 정산서 발행,상시,settlement_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0335
V2-L6-0337,보상/근태,법정복리후생,고용보험 자격관리,고용보험 자격관리 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0338,보상/근태,법정복리후생,고용보험 자격관리,고용보험 자격관리 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0337
V2-L6-0339,보상/근태,법정복리후생,고용보험 자격관리,고용보험 자격관리 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0338
V2-L6-0340,보상/근태,법정복리후생,국민연금 결정,국민연금 결정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0341,보상/근태,법정복리후생,국민연금 결정,국민연금 결정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0340
V2-L6-0342,보상/근태,법정복리후생,국민연금 결정,국민연금 결정 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0341
V2-L6-0343,보상/근태,법정복리후생,산재보험 신고,산재보험 신고 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0344,보상/근태,법정복리후생,산재보험 신고,산재보험 신고 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0343
V2-L6-0345,보상/근태,법정복리후생,산재보험 신고,산재보험 신고 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0344
V2-L6-0346,보상/근태,보상기획,경영계획,경영계획 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0347,보상/근태,보상기획,경영계획,경영계획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0346
V2-L6-0348,보상/근태,보상기획,경영계획,경영계획 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0347
V2-L6-0349,보상/근태,보상기획,임금조정,임금조정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0350,보상/근태,보상기획,임금조정,임금조정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0349
V2-L6-0351,보상/근태,보상기획,임금조정,임금조정 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0350
V2-L6-0352,보상/근태,연말정산,연말정산,연말정산 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0353,보상/근태,연말정산,연말정산,연말정산 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0352
V2-L6-0354,보상/근태,연말정산,연말정산,연말정산 결과 통보 발송,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0353
V2-L6-0355,보상/근태,지급업무,급여,급여 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0356,보상/근태,지급업무,급여,급여 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0355
V2-L6-0357,보상/근태,지급업무,급여,1차 급여 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0356
V2-L6-0358,보상/근태,지급업무,급여,급여명세서 발행완료,상시,payslip,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0357
V2-L6-0359,보상/근태,지급업무,연차수당,연차수당 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0360,보상/근태,지급업무,연차수당,연차수당 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0359
V2-L6-0361,보상/근태,지급업무,연차수당,연차수당 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0360
V2-L6-0362,보상/근태,지급업무,인센티브,인센티브 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0363,보상/근태,지급업무,인센티브,인센티브 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0362
V2-L6-0364,보상/근태,지급업무,인센티브,인센티브 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0363
V2-L6-0365,보상/근태,퇴직정산,퇴직금 지급,퇴직금 지급 기준서 확정,수시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0366,보상/근태,퇴직정산,퇴직금 지급,퇴직금 지급 결과표 등록,수시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0365
V2-L6-0367,보상/근태,퇴직정산,퇴직금 지급,퇴직금 지급 결과 통보 발송 완료,수시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0366
V2-L6-0368,보상/근태,퇴직정산,퇴직연금,퇴직연금 기준서 확정,수시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0369,보상/근태,퇴직정산,퇴직연금,퇴직연금 결과표 등록,수시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0368
V2-L6-0370,보상/근태,퇴직정산,퇴직연금,퇴직연금 결과 통보 발송 완료,수시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0369
V2-L6-0371,보상/근태,퇴직정산,퇴직자 미지급액 지급,퇴직자 미지급액 지급 기준서 확정,수시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0372,보상/근태,퇴직정산,퇴직자 미지급액 지급,퇴직자 미지급액 지급 결과표 등록,수시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0371
V2-L6-0373,보상/근태,퇴직정산,퇴직자 미지급액 지급,퇴직자 미지급액 지급 결과 통보 발송 완료,수시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0372
V2-L6-0374,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0375,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0374
V2-L6-0376,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0375
V2-L6-0377,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0378,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0377
V2-L6-0379,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0378
V2-L6-0380,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0381,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0380
V2-L6-0382,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 결과 통보 발송 완료,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0381
