Activity_ID,L3,L4,L5,AS_IS_L6,TO_BE_L6,Token_Coverage,AS_Tokens,TO_Tokens,Issue
V2-L6-0430,인력운영,퇴직,퇴직,"핵심인력 여부, 수혜금액 확인 및 변제요청",퇴직 현장 조치 발송,0.00,"변제요청,수혜금액,여부,핵심인력,확인","발송,조치,퇴직,현장",창작/과치환 의심
V2-L6-0432,인력운영,휴복직,복직,복직원 작성 및 신청,복직 처리 대상 분류 등록,0.00,"복직원,신청,작성","대상,등록,복직,분류",창작/과치환 의심
V2-L6-0433,인력운영,휴복직,복직,출근 및 행정사항 처리,복직 현장 조치 발송,0.00,"출근,행정사항","발송,복직,조치,현장",창작/과치환 의심
V2-L6-0475,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,계약서 관리,국내/해외/IP 변호사 관리 국내/해외/IP 변호사 결과 확정,0.00,계약서,"IP,국내,변호사,해외,확정",창작/과치환 의심
V2-L6-0476,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,계약직 운영기준 관리,국내/해외/IP 변호사 관리 검토 의견 등록,0.00,"계약직,운영기준","IP,검토,국내,등록,변호사,의견,해외",창작/과치환 의심
V2-L6-0477,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,재계약 처우 결정,국내/해외/IP 변호사 관리 수정본 등록,0.00,"결정,재계약,처우","IP,국내,등록,변호사,수정본,해외",창작/과치환 의심
V2-L6-0478,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,대상자 확정/변경 (예외자/사유 확인),국내/해외/IP 변호사 관리 승인 결재 승인 완료,0.00,"변경,사유,예외자,확인,확정","IP,결재,국내,변호사,승인,완료,해외",창작/과치환 의심
V2-L6-0479,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,대상자 확정/변경 (예외자/사유 확인),국내/해외/IP 변호사 관리 공지문 발송,0.00,"변경,사유,예외자,확인,확정","IP,공지문,국내,발송,변호사,해외",창작/과치환 의심
V2-L6-0481,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,대상자 확정/변경 (예외자/사유 확인),국내/해외/IP 변호사 관리 시행 내역 발송,0.00,"변경,사유,예외자,확인,확정","IP,국내,발송,변호사,시행,해외",창작/과치환 의심
V2-L6-0483,제도,계약직/변호사 관리,국내/해외/IP 변호사 관리,대상자 확정/변경 (예외자/사유 확인),국내/해외/IP 변호사 관리 개선 요청사항 발송,0.00,"변경,사유,예외자,확인,확정","IP,개선,국내,발송,변호사,요청사항,해외",창작/과치환 의심
V2-L6-0484,제도,계약직/변호사 관리,표준/개별연봉 계약직 관리,계약서 관리,표준/개별연봉 계약직 관리 표준/개별연봉 계약직 결과 확정,0.00,계약서,"개별연봉,계약직,표준,확정",창작/과치환 의심
V2-L6-0486,제도,계약직/변호사 관리,표준/개별연봉 계약직 관리,재계약 처우 결정,표준/개별연봉 계약직 관리 수정본 등록,0.00,"결정,재계약,처우","개별연봉,계약직,등록,수정본,표준",창작/과치환 의심
V2-L6-0487,제도,계약직/변호사 관리,표준/개별연봉 계약직 관리,대상자 확정/변경 (예외자/사유 확인),표준/개별연봉 계약직 관리 승인 결재 승인 완료,0.00,"변경,사유,예외자,확인,확정","개별연봉,결재,계약직,승인,완료,표준",창작/과치환 의심
V2-L6-0489,제도,계약직/변호사 관리,표준/개별연봉 계약직 관리,대상자 확정/변경 (예외자/사유 확인),표준/개별연봉 계약직 관리 시스템 발송,0.00,"변경,사유,예외자,확인,확정","개별연봉,계약직,발송,시스템,표준",창작/과치환 의심
V2-L6-0552,제도,승격,승격 운영 및 임직원 소통,수신 대상자 정비,승격 운영 및 임직원 소통 결과 확정,0.00,"수신,정비","소통,승격,임직원,확정",창작/과치환 의심
V2-L6-0553,제도,승격,승격 운영 및 임직원 소통,"일정 안내(부서장용, 본인용)",승격 운영 및 임직원 소통 검토 의견 등록,0.00,"본인용,부서장용,안내,일정","검토,등록,소통,승격,의견,임직원",창작/과치환 의심
V2-L6-0554,제도,승격,승격 운영 및 임직원 소통,"본인지원 안내, 부서장 추천 안내",승격 운영 및 임직원 소통 수정본 등록,0.00,"본인지원,부서장,안내,추천","등록,소통,수정본,승격,임직원",창작/과치환 의심
V2-L6-0555,제도,승격,승격 운영 및 임직원 소통,부서장 추천 공지 (1/2차),승격 운영 및 임직원 소통 승인 결재 승인 완료,0.00,"2차,공지,부서장,추천","결재,소통,승격,승인,완료,임직원",창작/과치환 의심
V2-L6-0556,제도,승격,승격 운영 및 임직원 소통,특화역량 프로세스 운영,승격 운영 및 임직원 소통 공지문 발송,0.00,"특화역량,프로세스","공지문,발송,소통,승격,임직원",창작/과치환 의심
V2-L6-0557,제도,승격,승격 운영 및 임직원 소통,승격세션 프로세스 운영,승격 운영 및 임직원 소통 시스템 발송,0.00,"승격세션,프로세스","발송,소통,승격,시스템,임직원",창작/과치환 의심
V2-L6-0576,제도,시상,가이드 수립/배포 및 시스템 준비,전사 시상규정 관리 (상벌규정),가이드 수립/배포 및 시스템 준비 결과 확정,0.00,"상벌규정,시상규정,전사","가이드,배포,수립,시스템,준비,확정",창작/과치환 의심
V2-L6-0588,제도,시상,가이드 수립/배포 및 시스템 준비,"시상 분야 신설, TO 재편 등 시상 규모 조율",가이드 수립/배포 및 시스템 준비 초안 등록,0.00,"TO,규모,분야,시상,신설,재편,조율","가이드,등록,배포,수립,시스템,준비,초안",창작/과치환 의심
V2-L6-0594,제도,시상,가이드 수립/배포 및 시스템 준비,심사위원회 구성,가이드 수립/배포 및 시스템 준비 결과 승인본 등록,0.00,"구성,심사위원회","가이드,등록,배포,수립,승인본,시스템,준비",창작/과치환 의심
V2-L6-0600,제도,시상,가이드 수립/배포 및 시스템 준비,심사 운영 일정,가이드 수립/배포 및 시스템 준비 초안 확정,0.00,"심사,일정","가이드,배포,수립,시스템,준비,초안,확정",창작/과치환 의심
V2-L6-0606,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 결과 승인본 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,승인본,시스템,준비,확정",창작/과치환 의심
V2-L6-0612,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 보완안 발송,0.00,"분과별,사전,심사기준,재정비","가이드,발송,배포,보완안,수립,시스템,준비",창작/과치환 의심
V2-L6-0618,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 대상자 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,확정",창작/과치환 의심
V2-L6-0624,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 라 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0577,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 검토 의견 확정,0.00,"분과별,사전,심사기준,재정비","가이드,검토,배포,수립,시스템,의견,준비,확정",창작/과치환 의심
V2-L6-0583,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 승인본 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,승인본,시스템,준비,확정",창작/과치환 의심
V2-L6-0589,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 검토 등록,0.00,"분과별,사전,심사기준,재정비","가이드,검토,등록,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0595,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 대상자 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0601,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 검토 확정,0.00,"분과별,사전,심사기준,재정비","가이드,검토,배포,수립,시스템,준비,확정",창작/과치환 의심
V2-L6-0607,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 결과 반영본 확정,0.00,"분과별,사전,심사기준,재정비","가이드,반영본,배포,수립,시스템,준비,확정",창작/과치환 의심
V2-L6-0613,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 보완안 통보본 발송,0.00,"분과별,사전,심사기준,재정비","가이드,발송,배포,보완안,수립,시스템,준비,통보본",창작/과치환 의심
V2-L6-0619,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 가 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0625,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 마 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0578,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 수정본 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,수정본,시스템,준비,확정",창작/과치환 의심
V2-L6-0584,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 결과 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0590,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 수정 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,수정,시스템,준비",창작/과치환 의심
V2-L6-0596,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 승인본 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,승인본,시스템,준비",창작/과치환 의심
V2-L6-0602,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 수정 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,수정,시스템,준비,확정",창작/과치환 의심
V2-L6-0608,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 결과 발송,0.00,"분과별,사전,심사기준,재정비","가이드,발송,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0614,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 보완안 초안 발송,0.00,"분과별,사전,심사기준,재정비","가이드,발송,배포,보완안,수립,시스템,준비,초안",창작/과치환 의심
V2-L6-0620,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 나 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0626,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 바 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0579,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 승인 결재 승인 완료,0.00,"분과별,사전,심사기준,재정비","가이드,결재,배포,수립,승인,시스템,완료,준비",창작/과치환 의심
V2-L6-0585,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 결과 대상자 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0591,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 최종 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,시스템,준비,최종",창작/과치환 의심
V2-L6-0597,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 등록,0.00,"분과별,사전,심사기준,재정비","가이드,등록,배포,수립,시스템,준비,통보본",창작/과치환 의심
V2-L6-0603,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 최종 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,최종,확정",창작/과치환 의심
V2-L6-0609,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 발송,0.00,"분과별,사전,심사기준,재정비","가이드,발송,배포,수립,시스템,준비,통보본",창작/과치환 의심
V2-L6-0615,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 보완안 검토 발송,0.00,"분과별,사전,심사기준,재정비","가이드,검토,발송,배포,보완안,수립,시스템,준비",창작/과치환 의심
V2-L6-0621,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 다 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0627,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 통보본 사 확정,0.00,"분과별,사전,심사기준,재정비","가이드,배포,수립,시스템,준비,통보본,확정",창작/과치환 의심
V2-L6-0580,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 공지문 확정,0.00,"분과별,사전,심사기준,재정비","가이드,공지문,배포,수립,시스템,준비,확정",창작/과치환 의심
V2-L6-0586,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 공지문 발송 등록,0.00,"분과별,사전,심사기준,재정비","가이드,공지문,등록,발송,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0592,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 공지문 발송 결과 등록,0.00,"분과별,사전,심사기준,재정비","가이드,공지문,등록,발송,배포,수립,시스템,준비",창작/과치환 의심
V2-L6-0598,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 공지문 발송 초안 등록,0.00,"분과별,사전,심사기준,재정비","가이드,공지문,등록,발송,배포,수립,시스템,준비,초안",창작/과치환 의심
V2-L6-0604,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 공지문 발송 확정,0.00,"분과별,사전,심사기준,재정비","가이드,공지문,발송,배포,수립,시스템,준비,확정",창작/과치환 의심
V2-L6-0610,제도,시상,가이드 수립/배포 및 시스템 준비,(사전) 분과별 심사기준 재정비,가이드 수립/배포 및 시스템 준비 공지문 발송 발송,0.00,"분과별,사전,심사기준,재정비","가이드,공지문,발송,배포,수립,시스템,준비",창작/과치환 의심
