Activity_ID,L3(도메인),Redesign_L4,Redesign_L5,Redesign_L6,Cadence,Output Type,pre_dependency,seq,Digital Trace
V2-L6-0001,총무,의사결정·승인 프로세스 그룹,날인 및 증명서 관리 [기준확정],날인 및 증명서  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0200,해외인사,의사결정·승인 프로세스 그룹,사건사고 관리 [기준확정],사건사고  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0201,해외인사,실행·반영 프로세스 그룹,사건사고 관리 [실행등록],사건사고  결과표 등록,상시,analysis_report,V2-L6-0200,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0202,해외인사,통보·핸드오프 프로세스 그룹,사건사고 관리 [통보인계],사건사고  결과 통보 발송 완료,상시,notification_doc,V2-L6-0201,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0203,해외인사,의사결정·승인 프로세스 그룹,(실사) 실사문서 분류 [기준확정],(실사) 실사문서 분류 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0204,해외인사,실행·반영 프로세스 그룹,(실사) 실사문서 분류 [실행등록],(실사) 실사문서 분류 결과표 등록,상시,analysis_report,V2-L6-0203,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0205,해외인사,통보·핸드오프 프로세스 그룹,(실사) 실사문서 분류 [통보인계],(실사) 실사문서 분류 결과 통보 발송 완료,상시,notification_doc,V2-L6-0204,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0206,해외인사,의사결정·승인 프로세스 그룹,(실사) 실사문서 독해 [기준확정],(실사) 실사문서 독해 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0207,해외인사,실행·반영 프로세스 그룹,(실사) 실사문서 독해 [실행등록],(실사) 실사문서 독해 결과표 등록,상시,analysis_report,V2-L6-0206,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0208,해외인사,통보·핸드오프 프로세스 그룹,(실사) 실사문서 독해 [통보인계],(실사) 실사문서 독해 결과 통보 발송 완료,상시,notification_doc,V2-L6-0207,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0209,해외인사,의사결정·승인 프로세스 그룹,(실사) 실사결과 분석 [기준확정],(실사) 실사결과 분석 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0210,해외인사,실행·반영 프로세스 그룹,(실사) 실사결과 분석 [실행등록],(실사) 실사결과 분석 결과표 등록,상시,analysis_report,V2-L6-0209,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0211,해외인사,통보·핸드오프 프로세스 그룹,(실사) 실사결과 분석 [통보인계],(실사) 실사결과 분석 결과 통보 발송 완료,상시,notification_doc,V2-L6-0210,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0212,해외인사,의사결정·승인 프로세스 그룹,(실사) 시사점 도출 및 보고 [기준확정],(실사) 시사점 도출 및 보고 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0213,해외인사,실행·반영 프로세스 그룹,(실사) 시사점 도출 및 보고 [실행등록],(실사) 시사점 도출 및 보고 결과표 등록,상시,analysis_report,V2-L6-0212,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0214,해외인사,통보·핸드오프 프로세스 그룹,(실사) 시사점 도출 및 보고 [통보인계],(실사) 시사점 도출 및 보고 결과 통보 발송 완료,상시,notification_doc,V2-L6-0213,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0215,해외인사,전략·기획 프로세스 그룹,(PMI) 계획 수립 [기준확정],(PMI) 계획 수립 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0216,해외인사,전략·기획 프로세스 그룹,(PMI) 계획 수립 [실행등록],(PMI) 계획 수립 결과표 등록,상시,analysis_report,V2-L6-0215,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0217,해외인사,전략·기획 프로세스 그룹,(PMI) 계획 수립 [통보인계],(PMI) 계획 수립 결과 통보 발송 완료,상시,notification_doc,V2-L6-0216,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0218,해외인사,의사결정·승인 프로세스 그룹,(PMI) Best Practice 분석 [기준확정],(PMI) Best Practice 분석 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0219,해외인사,실행·반영 프로세스 그룹,(PMI) Best Practice 분석 [실행등록],(PMI) Best Practice 분석 결과표 등록,상시,analysis_report,V2-L6-0218,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0220,해외인사,통보·핸드오프 프로세스 그룹,(PMI) Best Practice 분석 [통보인계],(PMI) Best Practice 분석 결과 통보 발송 완료,상시,notification_doc,V2-L6-0219,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0221,해외인사,의사결정·승인 프로세스 그룹,(자회사 운영) 운영 유형 결정 [기준확정],(자회사 )  유형 결정 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0222,해외인사,실행·반영 프로세스 그룹,(자회사 운영) 운영 유형 결정 [실행등록],(자회사 )  유형 결정 결과표 등록,상시,analysis_report,V2-L6-0221,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0223,해외인사,통보·핸드오프 프로세스 그룹,(자회사 운영) 운영 유형 결정 [통보인계],(자회사 )  유형 결정 결과 통보 발송 완료,상시,notification_doc,V2-L6-0222,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0224,해외인사,의사결정·승인 프로세스 그룹,(자회사 운영) 운영 방식 개선 [기준확정],(자회사 )  방식 개선 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0225,해외인사,실행·반영 프로세스 그룹,(자회사 운영) 운영 방식 개선 [실행등록],(자회사 )  방식 개선 결과표 등록,상시,analysis_report,V2-L6-0224,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0226,해외인사,통보·핸드오프 프로세스 그룹,(자회사 운영) 운영 방식 개선 [통보인계],(자회사 )  방식 개선 결과 통보 발송 완료,상시,notification_doc,V2-L6-0225,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0227,채용,전략·기획 프로세스 그룹,채용 계획 수립(경영계획) [기준확정],채용 계획 수립(경영계획) 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0228,채용,전략·기획 프로세스 그룹,채용 계획 수립(경영계획) [실행등록],채용 계획 수립(경영계획) 결과표 등록,수시,analysis_report,V2-L6-0227,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0229,채용,전략·기획 프로세스 그룹,채용 계획 수립(경영계획) [통보인계],채용 계획 수립(경영계획) 결과 통보 발송 완료,수시,notification_doc,V2-L6-0228,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0230,채용,의사결정·승인 프로세스 그룹,직무기술서 작성 [기준확정],직무기술서 작성 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0231,채용,실행·반영 프로세스 그룹,직무기술서 작성 [실행등록],직무기술서 작성 결과표 등록,수시,analysis_report,V2-L6-0230,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0232,채용,통보·핸드오프 프로세스 그룹,직무기술서 작성 [통보인계],직무기술서 작성 결과 통보 발송 완료,수시,notification_doc,V2-L6-0231,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0233,채용,접수·수집 프로세스 그룹,인재 소싱 채널 운영 [기준확정],인재 소싱 채널  기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0234,채용,접수·수집 프로세스 그룹,인재 소싱 채널 운영 [실행등록],인재 소싱 채널  결과표 등록,수시,analysis_report,V2-L6-0233,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0235,채용,접수·수집 프로세스 그룹,인재 소싱 채널 운영 [통보인계],인재 소싱 채널  결과 통보 발송 완료,수시,notification_doc,V2-L6-0234,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0236,채용,심사·평가 프로세스 그룹,서류심사 [기준확정],서류심사 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0237,채용,심사·평가 프로세스 그룹,서류심사 [실행등록],서류심사 결과표 등록,수시,analysis_report,V2-L6-0236,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0238,채용,심사·평가 프로세스 그룹,서류심사 [통보인계],서류심사 결과 통보 발송 완료,수시,notification_doc,V2-L6-0237,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0239,채용,심사·평가 프로세스 그룹,"자격 검증(GSAT, 코딩 테스트 등) [기준확정]","자격 검증(GSAT, 코딩 테스트 등) 기준서 확정",수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0240,채용,심사·평가 프로세스 그룹,"자격 검증(GSAT, 코딩 테스트 등) [실행등록]","자격 검증(GSAT, 코딩 테스트 등) 결과표 등록",수시,analysis_report,V2-L6-0239,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0241,채용,심사·평가 프로세스 그룹,"자격 검증(GSAT, 코딩 테스트 등) [통보인계]","자격 검증(GSAT, 코딩 테스트 등) 결과 통보 발송 완료",수시,notification_doc,V2-L6-0240,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0242,채용,심사·평가 프로세스 그룹,면접 [기준확정],면접 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0243,채용,심사·평가 프로세스 그룹,면접 [실행등록],면접 결과표 등록,수시,analysis_report,V2-L6-0242,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0244,채용,심사·평가 프로세스 그룹,면접 [통보인계],면접 결과 통보 발송 완료,수시,notification_doc,V2-L6-0243,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0245,채용,의사결정·승인 프로세스 그룹,채용승인 및 처우확정 [기준확정],채용승인 및 처우확정 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0246,채용,의사결정·승인 프로세스 그룹,채용승인 및 처우확정 [실행등록],채용승인 및 처우확정 결과표 등록,수시,analysis_report,V2-L6-0245,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0247,채용,의사결정·승인 프로세스 그룹,채용승인 및 처우확정 [통보인계],채용승인 및 처우확정 결과 통보 발송,수시,notification_doc,V2-L6-0246,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0248,채용,의사결정·승인 프로세스 그룹,선확보 인력 리텐션 운영 [기준확정],선확보 인력 리텐션  기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0249,채용,실행·반영 프로세스 그룹,선확보 인력 리텐션 운영 [실행등록],선확보 인력 리텐션  결과표 등록,수시,analysis_report,V2-L6-0248,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0250,채용,통보·핸드오프 프로세스 그룹,선확보 인력 리텐션 운영 [통보인계],선확보 인력 리텐션  결과 통보 발송 완료,수시,notification_doc,V2-L6-0249,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0251,채용,의사결정·승인 프로세스 그룹,신규입사자 입사/온보딩 수행 [기준확정],신규입사자 입사/온보딩 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0252,채용,실행·반영 프로세스 그룹,신규입사자 입사/온보딩 수행 [실행등록],중간 신규입사자 입사/온보딩 결과표 등록,수시,analysis_report,V2-L6-0251,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0253,채용,실행·반영 프로세스 그룹,신규입사자 입사/온보딩 수행 [통보인계],중간 신규입사자 입사/온보딩 결과표 등록,수시,analysis_report,V2-L6-0252,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0254,채용,실행·반영 프로세스 그룹,신규입사자 입사/온보딩 수행 [확장단계4],입사 전 O 등록,수시,analysis_report,V2-L6-0253,4,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0255,채용,실행·반영 프로세스 그룹,신규입사자 입사/온보딩 수행 [확장단계5],T 이수결과표 등록,수시,analysis_report,V2-L6-0254,5,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0256,보상/근태,의사결정·승인 프로세스 그룹,급여 [기준확정],급여 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0257,보상/근태,실행·반영 프로세스 그룹,급여 [실행등록],중간 급여 결과표 등록,상시,analysis_report,V2-L6-0256,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0258,보상/근태,실행·반영 프로세스 그룹,급여 [통보인계],중간 급여 결과표 등록,상시,analysis_report,V2-L6-0257,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0259,보상/근태,운영 공통 프로세스 그룹,급여 [확장단계4],급여명세서 발행완료,상시,payslip,V2-L6-0258,4,업무 처리 이력 로그 | 결과 데이터 저장 이력 | 급여명세서 발행완료 관련 증빙 기록
V2-L6-0260,보상/근태,의사결정·승인 프로세스 그룹,인센티브 [기준확정],인센티브 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0261,보상/근태,실행·반영 프로세스 그룹,인센티브 [실행등록],인센티브 결과표 등록,상시,analysis_report,V2-L6-0260,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0262,보상/근태,통보·핸드오프 프로세스 그룹,인센티브 [통보인계],인센티브 결과 통보 발송 완료,상시,notification_doc,V2-L6-0261,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0263,보상/근태,의사결정·승인 프로세스 그룹,연차수당 [기준확정],연차수당 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0264,보상/근태,실행·반영 프로세스 그룹,연차수당 [실행등록],연차수당 결과표 등록,상시,analysis_report,V2-L6-0263,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0265,보상/근태,통보·핸드오프 프로세스 그룹,연차수당 [통보인계],연차수당 결과 통보 발송 완료,상시,notification_doc,V2-L6-0264,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0266,보상/근태,의사결정·승인 프로세스 그룹,퇴직자 미지급액 지급 [기준확정],퇴직자 미지급액 지급 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0267,보상/근태,실행·반영 프로세스 그룹,퇴직자 미지급액 지급 [실행등록],퇴직자 미지급액 지급 결과표 등록,수시,analysis_report,V2-L6-0266,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0268,보상/근태,실행·반영 프로세스 그룹,퇴직자 미지급액 지급 [통보인계],퇴직자 미지급액 지급 결과 통보 발송 완료,수시,notification_doc,V2-L6-0267,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0269,보상/근태,의사결정·승인 프로세스 그룹,퇴직금 지급 [기준확정],퇴직금 지급 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0270,보상/근태,실행·반영 프로세스 그룹,퇴직금 지급 [실행등록],퇴직금 지급 결과표 등록,수시,analysis_report,V2-L6-0269,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0271,보상/근태,실행·반영 프로세스 그룹,퇴직금 지급 [통보인계],퇴직금 지급 결과 통보 발송 완료,수시,notification_doc,V2-L6-0270,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0272,보상/근태,의사결정·승인 프로세스 그룹,퇴직연금 [기준확정],퇴직연금 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0273,보상/근태,실행·반영 프로세스 그룹,퇴직연금 [실행등록],퇴직연금 결과표 등록,수시,analysis_report,V2-L6-0272,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0274,보상/근태,통보·핸드오프 프로세스 그룹,퇴직연금 [통보인계],퇴직연금 결과 통보 발송 완료,수시,notification_doc,V2-L6-0273,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0275,보상/근태,의사결정·승인 프로세스 그룹,연말정산 [기준확정],연말정산 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0276,보상/근태,실행·반영 프로세스 그룹,연말정산 [실행등록],연말정산 결과표 등록,상시,analysis_report,V2-L6-0275,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0277,보상/근태,실행·반영 프로세스 그룹,연말정산 [통보인계],연말정산 결과 통보 발송,상시,notification_doc,V2-L6-0276,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0278,보상/근태,전략·기획 프로세스 그룹,경영계획 [기준확정],경영계획 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0279,보상/근태,전략·기획 프로세스 그룹,경영계획 [실행등록],경영계획 결과표 등록,상시,analysis_report,V2-L6-0278,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0280,보상/근태,전략·기획 프로세스 그룹,경영계획 [통보인계],경영계획 결과 통보 발송 완료,상시,notification_doc,V2-L6-0279,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0281,보상/근태,의사결정·승인 프로세스 그룹,임금조정 [기준확정],임금조정 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0282,보상/근태,실행·반영 프로세스 그룹,임금조정 [실행등록],임금조정 결과표 등록,상시,analysis_report,V2-L6-0281,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0283,보상/근태,통보·핸드오프 프로세스 그룹,임금조정 [통보인계],임금조정 결과 통보 발송 완료,상시,notification_doc,V2-L6-0282,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0284,보상/근태,의사결정·승인 프로세스 그룹,국민연금 결정 [기준확정],국민연금 결정 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0285,보상/근태,실행·반영 프로세스 그룹,국민연금 결정 [실행등록],국민연금 결정 결과표 등록,상시,analysis_report,V2-L6-0284,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0286,보상/근태,통보·핸드오프 프로세스 그룹,국민연금 결정 [통보인계],국민연금 결정 결과 통보 발송 완료,상시,notification_doc,V2-L6-0285,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0287,보상/근태,의사결정·승인 프로세스 그룹,건강보험/노인장기요양보험 정산 [기준확정],건강보험/노인장기요양보험 정산 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0288,보상/근태,실행·반영 프로세스 그룹,건강보험/노인장기요양보험 정산 [실행등록],중간 건강보험/노인장기요양보험 정산 결과표 등록,상시,analysis_report,V2-L6-0287,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0289,보상/근태,실행·반영 프로세스 그룹,건강보험/노인장기요양보험 정산 [통보인계],중간 건강보험/노인장기요양보험 정산 결과표 등록,상시,analysis_report,V2-L6-0288,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0290,보상/근태,실행·반영 프로세스 그룹,건강보험/노인장기요양보험 정산 [확장단계4],장기요양 정산서 발행,상시,settlement_doc,V2-L6-0289,4,ERP 전표 번호 생성 로그 | 결재 완료 데이터 | 정산 반영 이력
V2-L6-0291,보상/근태,의사결정·승인 프로세스 그룹,고용보험 자격관리 [기준확정],고용보험 자격관리 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0292,보상/근태,실행·반영 프로세스 그룹,고용보험 자격관리 [실행등록],고용보험 자격관리 결과표 등록,상시,analysis_report,V2-L6-0291,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0293,보상/근태,통보·핸드오프 프로세스 그룹,고용보험 자격관리 [통보인계],고용보험 자격관리 결과 통보 발송 완료,상시,notification_doc,V2-L6-0292,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0294,보상/근태,의사결정·승인 프로세스 그룹,산재보험 신고 [기준확정],산재보험 신고 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0295,보상/근태,실행·반영 프로세스 그룹,산재보험 신고 [실행등록],산재보험 신고 결과표 등록,상시,analysis_report,V2-L6-0294,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0296,보상/근태,통보·핸드오프 프로세스 그룹,산재보험 신고 [통보인계],산재보험 신고 결과 통보 발송 완료,상시,notification_doc,V2-L6-0295,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0297,보상/근태,의사결정·승인 프로세스 그룹,의료비 [기준확정],의료비 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0298,보상/근태,실행·반영 프로세스 그룹,의료비 [실행등록],의료비 결과표 등록,상시,analysis_report,V2-L6-0297,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0299,보상/근태,통보·핸드오프 프로세스 그룹,의료비 [통보인계],의료비 결과 통보 발송 완료,상시,notification_doc,V2-L6-0298,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0300,보상/근태,의사결정·승인 프로세스 그룹,학자금 [기준확정],학자금 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0301,보상/근태,실행·반영 프로세스 그룹,학자금 [실행등록],학자금 결과표 등록,상시,analysis_report,V2-L6-0300,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0302,보상/근태,통보·핸드오프 프로세스 그룹,학자금 [통보인계],학자금 결과 통보 발송 완료,상시,notification_doc,V2-L6-0301,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0303,보상/근태,의사결정·승인 프로세스 그룹,대부금 [기준확정],대부금 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0304,보상/근태,실행·반영 프로세스 그룹,대부금 [실행등록],대부금 결과표 등록,상시,analysis_report,V2-L6-0303,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0305,보상/근태,통보·핸드오프 프로세스 그룹,대부금 [통보인계],대부금 결과 통보 발송 완료,상시,notification_doc,V2-L6-0304,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0306,보상/근태,의사결정·승인 프로세스 그룹,임직원검진 [기준확정],임직원검진 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0307,보상/근태,실행·반영 프로세스 그룹,임직원검진 [실행등록],임직원검진 결과표 등록,상시,analysis_report,V2-L6-0306,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0308,보상/근태,통보·핸드오프 프로세스 그룹,임직원검진 [통보인계],임직원검진 결과 통보 발송 완료,상시,notification_doc,V2-L6-0307,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0309,보상/근태,의사결정·승인 프로세스 그룹,근무형태 생성 [기준확정],근무형태 생성 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0310,보상/근태,실행·반영 프로세스 그룹,근무형태 생성 [실행등록],근무형태 생성 결과표 등록,상시,analysis_report,V2-L6-0309,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0311,보상/근태,통보·핸드오프 프로세스 그룹,근무형태 생성 [통보인계],근무형태 생성 결과 통보 발송 완료,상시,notification_doc,V2-L6-0310,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0312,보상/근태,의사결정·승인 프로세스 그룹,Office근무시간오류관리 [기준확정],Office근무시간오류관리 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0313,보상/근태,실행·반영 프로세스 그룹,Office근무시간오류관리 [실행등록],Office근무시간오류관리 결과표 등록,상시,analysis_report,V2-L6-0312,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
